subset,n_panel_fits,n_tasks,n_condition_strata,median_full_raw_predictive_q2,median_condition_only_raw_predictive_q2,median_pairwise_accuracy,median_condition_variation_share,median_material_information_gain_mae,n_condition_majority,n_condition_only_at_least_full_raw,n_positive_material_information_gain,n_material_information_gain_interval_above_zero,n_positive_contrast_q2,n_contrast_interval_above_zero,n_above_chance_pairwise,n_pairwise_interval_above_chance,n_supporting_both,n_interval_supporting_both,n_pairwise_permutation_p_lt_005,n_pairwise_permutation_holm_lt_005,n_holm_ordering_and_positive_contrast_interval
primary_complete_single_source,10,5,85,0.5797617311144039,0.5644419894008521,0.619773888308371,0.5083138328746006,-0.11482640795179577,5,5,4,1,4,3,6,6,4,3,1,1,0
all_panel_fits_including_sensitivity,12,5,87,0.5674255133371038,0.3931486152417917,0.535104609969016,0.3086251410154308,-0.11482640795179577,5,6,5,2,4,3,6,6,4,3,1,1,0
