dataset,contaminant,grouping_status,n_rows_m,n_material_groups_m,min_group_n,median_group_n,max_group_n,legacy_mean_fold_r2_not_recommended,pooled_r2_global_baseline_m,row_weighted_predictive_q2_m,pooled_mae_m,pooled_rmse_m,pooled_nmae_range_m,pooled_nrmse_range_m,pooled_nmae_iqr_m,pooled_nrmse_iqr_m,response_range_m,response_iqr_m,response_sd_m,material_balanced_predictive_q2,material_balanced_mae,material_balanced_rmse,material_balanced_nmae_range,material_balanced_nrmse_range,material_balanced_nmae_iqr,material_balanced_nrmse_iqr,pooled_r2_global_baseline_ci_low,pooled_r2_global_baseline_ci_high,row_weighted_predictive_q2_ci_low,row_weighted_predictive_q2_ci_high,pooled_mae_ci_low,pooled_mae_ci_high,pooled_rmse_ci_low,pooled_rmse_ci_high,material_balanced_predictive_q2_ci_low,material_balanced_predictive_q2_ci_high,material_balanced_mae_ci_low,material_balanced_mae_ci_high,material_balanced_rmse_ci_low,material_balanced_rmse_ci_high,material_balanced_nmae_range_ci_low,material_balanced_nmae_range_ci_high,material_balanced_nrmse_range_ci_low,material_balanced_nrmse_range_ci_high,material_balanced_nmae_iqr_ci_low,material_balanced_nmae_iqr_ci_high,material_balanced_nrmse_iqr_ci_low,material_balanced_nrmse_iqr_ci_high,order,task,n_rows_s,n_material_groups_s,n_source_studies,min_source_rows,median_source_rows,max_source_rows,pooled_r2_global_baseline_s,row_weighted_predictive_q2_s,pooled_mae_s,pooled_rmse_s,pooled_nmae_range_s,pooled_nrmse_range_s,pooled_nmae_iqr_s,pooled_nrmse_iqr_s,response_range_s,response_iqr_s,response_sd_s,source_balanced_predictive_q2,source_balanced_mae,source_balanced_rmse,source_balanced_nmae_range,source_balanced_nrmse_range,source_balanced_nmae_iqr,source_balanced_nrmse_iqr,source_balanced_predictive_q2_ci_low,source_balanced_predictive_q2_ci_high,source_balanced_mae_ci_low,source_balanced_mae_ci_high,source_balanced_rmse_ci_low,source_balanced_rmse_ci_high,source_balanced_nmae_range_ci_low,source_balanced_nmae_range_ci_high,source_balanced_nrmse_range_ci_low,source_balanced_nrmse_range_ci_high,source_balanced_nmae_iqr_ci_low,source_balanced_nmae_iqr_ci_high,source_balanced_nrmse_iqr_ci_low,source_balanced_nrmse_iqr_ci_high,interval_interpretation
Dataset I,Cd (II),source study + source-specific material label; stable first-occurrence group coding,354,55,1,5.0,34,-1240.0605906827595,0.5479101697715739,0.5655889536260044,0.1445089528640688,0.2468380761195781,0.0912880308680156,0.1559305597723172,0.2999426736384996,0.5123369247352607,1.583,0.4817885735,0.3671130170856501,0.8041517598503263,0.0763209035113951,0.157531610782199,0.0482128259705591,0.0995145993570429,0.1584116098000301,0.3269724925973135,-0.1023354867358023,0.832240122520888,0.0500683430856217,0.8396009257517436,0.0828658116081851,0.2051763957013784,0.1484859468258332,0.3294263265419116,0.6760578256666818,0.8969122994846561,0.0489163133149364,0.1086064084348789,0.1000239443996389,0.2074164169266262,0.0336096208537991,0.0695153032314166,0.0704722792764914,0.1326083763359713,0.1014428164632304,0.3172421813166384,0.2014882491721357,0.6591608259206978,0,Cd(II),354,55,8,5,48.0,80,0.2415863355238579,0.3728593540616138,0.2282936771800613,0.3197075250898294,0.1442158415540501,0.2019630607010925,0.4738461842745661,0.6635846980912872,1.583,0.4817885735,0.3671130170856501,0.4471050587666255,0.216203012687567,0.3169559583825514,0.1365780244393979,0.2002248631601714,0.4487508101674956,0.6578735483077026,-0.2386683064379806,0.7023933971546419,0.1212539375792791,0.3129431718369289,0.1810300853684195,0.4185493475108592,0.0859213405778725,0.220775486759014,0.1315747603508926,0.3186858863672293,0.3045757375932993,4.0823026459497065,0.4521067807957925,6.397056712601348,Empirical source-resampling interval; not a population-level confidence interval when only a few source studies are available
Dataset I,Pb (II),source study + source-specific material label; stable first-occurrence group coding,115,29,1,3.0,12,-417.3793558974335,0.6505021208743167,0.6751618771134382,0.0568378759915635,0.1033876647112253,0.0855702335793555,0.1556516049240966,0.3281632563023298,0.5969264706190841,0.664224855,0.1732,0.1748825404217454,0.7197295931217624,0.0533480075401054,0.0987078856955447,0.0803161868131319,0.1486061308192762,0.3080139003470293,0.5699069612906741,0.0854750122376446,0.8965510845715718,0.2450007291568289,0.9068958315002384,0.0304813371987123,0.090460598742509,0.0511051064364463,0.1480634364792731,0.4592083980227215,0.894846462697245,0.0297556819829352,0.0803736263228506,0.0561554364185678,0.1344401158369419,0.0484987051622055,0.1264082393502494,0.0934354087931196,0.2085908883117544,0.1571837668773797,0.6833033486106993,0.2777168881013086,1.348829172602921,1,Pb(II),115,29,7,3,11.0,48,0.4635797431846221,0.6484027632371022,0.0949459488782469,0.1280852258140337,0.1429424812449196,0.1928341356844193,0.548186771814359,0.7395220889955758,0.664224855,0.1732,0.1748825404217454,0.4896379598315837,0.1161050338518802,0.1617363232630498,0.1747977856864151,0.2434963432120435,0.6703523894450357,0.9338124899714196,-0.3600908777673197,0.6825395739401056,0.0823084149568951,0.1481308364665974,0.1151248535913652,0.1983302949170732,0.1315580093526271,0.2848878353145924,0.1876344005239214,0.377157602662128,0.3498043420034746,60.89043891123566,0.4803917921967816,80.0873418112378,Empirical source-resampling interval; not a population-level confidence interval when only a few source studies are available
Dataset I,Cu (II),source study + source-specific material label; stable first-occurrence group coding,95,9,3,13.0,14,-0.766437883100056,0.7550286501620209,0.7638891821169844,0.0847332645116901,0.1240659273161563,0.0826557663766196,0.1210240672614248,0.2377528587685526,0.3481162807213463,1.02513434,0.3563922005,0.2506656811215816,0.826550721431063,0.0732923564643001,0.1121904650602813,0.0714953675869449,0.1094397687041499,0.2056508429799383,0.3147949503465113,0.4716571151849409,0.9089997426337268,0.5102781115067833,0.9124279123899648,0.0502877182298529,0.1183612817684754,0.0784515690073165,0.1591390120460477,0.6291889422196679,0.9457265349200676,0.0406199749466273,0.105571778489565,0.0675669719312958,0.1491324009482876,0.0415765126179062,0.1150156557075532,0.0675062461676982,0.1639667597696269,0.1026795922325527,0.3130691461262548,0.1678377404969314,0.4597206473814892,2,Cu(II),95,9,3,6,20.0,69,0.5960764297368262,0.6103794133216216,0.1179771062377441,0.1593105278388425,0.1150845324699045,0.1554045373593109,0.3310316726130041,0.4470090187589349,1.02513434,0.3563922005,0.2506656811215816,0.7253968424327664,0.1116345032387762,0.1468386992056132,0.1088974380067848,0.1432384941915156,0.3132349784371229,0.412014345430697,0.1710877044229575,0.9668332236643036,0.0629659107436669,0.1619115245099997,0.0645139057221495,0.1911275864792787,0.0767242193675143,1.502766366197302,0.1012452798347988,1.5397113537505862,0.2128223621844226,2.9561460443036127,0.2712198793617088,3.0288218648896508,Empirical source-resampling interval; not a population-level confidence interval when only a few source studies are available
Dataset II,Sr (II),source study + source-specific material label; stable first-occurrence group coding,763,9,61,84.0,105,-0.65782894495599,0.9416243567778346,0.9499130318233466,2.213377785483497,3.355361308046469,0.0214516164516718,0.0325194931968062,0.2811837840028798,0.4262594463002002,103.18000000000002,7.871640938799045,13.88748019924534,0.957047902309354,2.0125494011337146,3.1332909129437807,0.019505227768305,0.030367231177978,0.2556708844802522,0.398047997527415,-0.6608206457709211,0.9845166613781388,0.7366160460175315,0.987398672837116,1.0401415718519138,3.400414066227049,1.7983068707326664,4.406217026298234,0.7911431831681012,0.9873675363188044,1.0497432592350315,3.1511043739801146,1.7882095768969348,4.195914934827919,0.0104036120471433,0.1811349674272602,0.0175557030348776,0.250041095750855,0.0434431626547971,0.802292896231819,0.0808528739579125,1.1422310893437204,5,Sr(II),763,9,4,124,162.0,315,-0.1543143214873195,0.1963409020447304,7.369654238837289,14.920572755639402,0.0714252203802799,0.1446072180232545,0.9362284555577884,1.8954844195314369,103.18000000000002,7.871640938799045,13.88748019924534,0.1831979971194052,7.978202084659165,15.820826137959044,0.0773231448406586,0.1533322944171258,1.0135373483989705,2.0098510921628474,0.0366563223477396,0.9596476068573372,1.4793936918214738,20.27166192519273,1.8209521445548265,27.155764404137408,0.0741913617223074,0.1977543082559512,0.1523163643660157,0.2631882574543264,0.4550846825229021,1.4543650287504102,0.7142049678509409,2.62200644336009,Empirical source-resampling interval; not a population-level confidence interval when only a few source studies are available
Dataset III,Ibuprofen,source study + source-specific material label; combined IBU and IBF records,1350,11,54,137.0,168,-26.032416629994994,0.0879970227596543,0.1949411394681167,26.68514419053445,34.000014266683735,0.0909720824677311,0.1159091395455127,0.5640513045610414,0.7186677450676681,293.3333333333333,47.30978188464876,35.602539031418765,0.4211249466572051,26.663966300102217,34.49209740071951,0.0908998851139848,0.117586695684271,0.5636036616088106,0.7290690429480002,-1.796155836359296,0.5408240554050472,-0.68712227060945,0.6000420380139697,16.65015720363338,36.08455993652493,24.069586173868803,42.06954156391928,-0.3817430087020655,0.6463447861570749,18.132836941177377,35.33898935996003,25.04134289257916,43.01819629149603,0.069696466949186,0.2266693608912922,0.098713450751118,0.2812790824492132,0.3726325422257535,2.80287348649959,0.4881780756491585,3.6112273668091417,8,IBU,1350,11,5,108,267.0,504,0.2561093411901338,0.3307901359999391,21.32029662319445,30.706868123953026,0.0726828293972538,0.1046825049680216,0.4506530314423736,0.6490596003765744,293.3333333333333,47.30978188464876,35.602539031418765,0.3768604057806193,23.386011588715924,37.1756292438239,0.0797250395069861,0.1267350996948542,0.4943166224214679,0.7857916008673627,0.1591979787275685,0.537056120671364,12.307534665469056,36.13060596382133,18.37388129470337,55.18742237564914,0.0605105891509452,0.1835485651401682,0.1171396184335045,0.2296453606196405,0.388933692659979,1.2980627716186648,0.5239942935439403,2.275356978467244,Empirical source-resampling interval; descriptive for five sources
Dataset III,CBZ,source study + source-specific material label; stable first-occurrence group coding,526,6,54,81.0,130,-4.953858114028288,0.2732624319597996,0.4089139815345822,25.41834588207533,49.13658688925258,0.0717398729958509,0.1386814279433657,1.2908874338987162,2.4954339221868245,354.3126691002837,19.690598277269828,57.63896592698045,0.3629022947733246,34.51307298570865,61.31807950392325,0.0974085207659909,0.1730620574749133,1.752769138840712,3.114079046277979,-1.5297218727676931,0.4122507027567609,0.304937621244479,0.8482800719327964,8.12581743381492,53.98688093891794,12.826580830660296,79.89000744954407,0.2882911543518306,0.8766597725953464,7.204776825586639,66.23180167949187,11.405324337998351,91.1107216254338,0.0515102547134184,0.2134308555663438,0.1183790437348753,0.2771954840028625,0.4516743956570007,4.17354625623828,0.7432576196125715,8.092417530125521,9,CBZ,526,6,3,108,162.0,256,-2.0646463076165986,-0.9111991747956204,95.0979108846454,100.90353016762391,0.2684011021286093,0.2847866840998126,4.829610027361294,5.124452225715437,354.3126691002837,19.690598277269828,57.63896592698045,-0.5415831661412551,98.73158431906896,106.85703917373384,0.278656658170821,0.3015896649845431,5.014148525544876,5.426805101045916,-5.1894737307628445,0.1007706580494364,85.13134817050846,110.45177003281188,86.44174199673704,128.83085952989552,0.2640929804426271,4.344447415454231,0.2893979923856717,4.357948631012481,1.0650497268983603,36.03720046040898,1.1951578889816648,36.14919307189764,Empirical source-resampling interval; not a population-level confidence interval when only a few source studies are available
