source_study_id,source_citation,source_doi_or_url,n_rows,n_material_groups,material_labels,tasks
Kwak2020_Pine,"Kwak et al., Effects of the pyrolysis temperature on adsorption of carbamazepine and ibuprofen by NaOH pre-treated pine sawdust biochars, Journal of Korean Society of Environmental Engineers 42 (2020) 29-39.",,324,2,PB600 | PB800,CBZ | IBF
Lee2021_Fungicides,"Lee et al., Enhanced adsorption capacities of fungicides using peanut shell biochar via successive chemical modification with KMnO4 and KOH, Separations 8 (2021) 52.",https://doi.org/10.3390/separations8040052,450,2,PSB | PSBOX-A,CAR | PYR | TEB
Lee2021_Herbicides,"Lee et al., Effects of NaOH activation on adsorptive removal of herbicides by biochars prepared from ground coffee residues, Energies 14 (2021) 1297.",https://doi.org/10.3390/en14051297,450,2,GCRB | GCRB-N,ALA | DIU | SIM
Shin2019_Pharmaceuticals,"Shin et al., Removal efficiency of pharmaceuticals using coffee residues biochar activated with zinc chloride and powdered activated carbon, Journal of Korean Society of Environmental Engineers 41 (2019) 515-523.",,324,2,C-Biochar | PAC,ATE | CBZ | IBF
Shin2020_Micropollutants,"Shin et al., Single and competitive adsorptions of micropollutants using pristine and alkali-modified biochars from spent coffee grounds, Journal of Hazardous Materials 400 (2020) 123102.",https://doi.org/10.1016/j.jhazmat.2020.123102,778,2,Alkali-modified SCG biochars | Pristine SCG biochar,CBZ | EE2 | IBF
Shin2021_Competitive,"Shin et al., Competitive adsorption of pharmaceuticals in lake water and wastewater effluent by pristine and NaOH-activated biochars from spent coffee wastes, Environmental Pollution 270 (2021) 116244.",https://doi.org/10.1016/j.envpol.2020.116244,927,2,NaOH-activated SCW biochars | Pristine SCW Biochar,DCF | IBU | NPX | NXP
Shin2022_Ibuprofen,"Shin et al., Facilitated physisorption of ibuprofen on waste coffee residue biochars through simultaneous magnetization and activation in groundwater and lake water, Journal of Environmental Chemical Engineering 10 (2022) 107914.",https://doi.org/10.1016/j.jece.2022.107914,504,3,AMCB | CB | MCB,IBU
