best_identity_class,n_sources,n_panels,n_query_strata,n_failed_query_strata,query_best_coverage,mean_normalized_regret,source_balanced_mean_assay_reduction_fraction,pooled_assay_reduction_fraction,classification_note
constant_best,3,5,19,0,1.0,0.0,0.18783068783068782,0.21599999999999997,descriptive split based only on whether the observed best candidate changes across recorded strata
switching_best,5,9,40,2,0.95,0.003556524066539335,0.17206984126984132,0.209366391184573,descriptive split based only on whether the observed best candidate changes across recorded strata
