evidence_subset,n_studies,n_panels,n_query_conditions,rule_query_weighted_coverage,random_equal_retention_query_weighted_coverage,query_weighted_coverage_lift,rule_query_weighted_normalized_regret,random_query_weighted_normalized_regret,single_boundary_query_weighted_coverage,single_boundary_query_weighted_normalized_regret,mean_panel_retained_fraction,source_balanced_measurement_reduction,single_boundary_source_balanced_measurement_reduction
hazard_focused,3,7,28,0.9285714285714286,0.6273809523809524,0.3011904761904763,0.0050807486664847645,0.026479071169863023,0.8714285714285714,0.011160398482795953,0.6380952380952382,0.19789417989417993,0.32235978835978835
structural_sensitivity,4,7,31,1.0,0.7526881720430109,0.24731182795698922,0.0,0.07458857460334443,1.0,0.0,0.6460317460317461,0.17611111111111113,0.3161111111111111
all_archived_panels,6,14,59,0.9661016949152542,0.6932203389830509,0.2728813559322034,0.0024112027569758204,0.05175694585525157,0.9383561643835616,0.005350875984902169,0.6420634920634921,0.19783597883597884,0.33488359788359784
