panel_id,study_id,pollutant,is_boundary_pair,is_middle_pair,anchors,n_retained,coverage,normalized_regret
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C2 | C5,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C2 | C6,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C2 | C7,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C2 | C8,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C3 | C4,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C3 | C5,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C3 | C6,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C3 | C7,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C3 | C8,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C4 | C5,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C4 | C6,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C4 | C7,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C4 | C8,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C5 | C6,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C5 | C7,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C5 | C8,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C6 | C7,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C6 | C8,3,1.0,0.0
Soria2020_Cd_isotherm,Soria2020,Cd(II),False,False,C7 | C8,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C1 | C2,4,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C1 | C3,4,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C1 | C4,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C1 | C5,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C1 | C6,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C1 | C7,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C1 | C8,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),True,False,C1 | C9,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C2 | C3,3,0.2857142857142857,0.09522595934226612
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C2 | C4,4,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C2 | C5,4,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C2 | C6,4,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C2 | C7,4,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C2 | C8,4,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C2 | C9,4,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C3 | C4,4,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C3 | C5,4,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C3 | C6,4,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C3 | C7,4,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C3 | C8,4,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C3 | C9,4,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C4 | C5,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C4 | C6,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C4 | C7,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C4 | C8,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C4 | C9,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C5 | C6,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C5 | C7,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C5 | C8,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C5 | C9,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C6 | C7,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C6 | C8,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C6 | C9,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C7 | C8,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C7 | C9,3,1.0,0.0
Soria2020_Pb_isotherm,Soria2020,Pb(II),False,False,C8 | C9,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C1 | C2,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C1 | C3,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C1 | C4,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C1 | C5,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C1 | C6,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C1 | C7,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),True,False,C1 | C8,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C2 | C3,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C2 | C4,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C2 | C5,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C2 | C6,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C2 | C7,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C2 | C8,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C3 | C4,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C3 | C5,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C3 | C6,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C3 | C7,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C3 | C8,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C4 | C5,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C4 | C6,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C4 | C7,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C4 | C8,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C5 | C6,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C5 | C7,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C5 | C8,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C6 | C7,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C6 | C8,3,1.0,0.0
Soria2020_Zn_isotherm,Soria2020,Zn(II),False,False,C7 | C8,3,1.0,0.0
Vasconcelos2025_17bE2_concentration,Vasconcelos2025,17beta-estradiol,False,False,C0=10 | C0=15,2,1.0,0.0
Vasconcelos2025_17bE2_concentration,Vasconcelos2025,17beta-estradiol,True,False,C0=10 | C0=20,2,1.0,0.0
Vasconcelos2025_17bE2_concentration,Vasconcelos2025,17beta-estradiol,False,False,C0=15 | C0=20,2,1.0,0.0
Vasconcelos2025_MB_concentration,Vasconcelos2025,Methylene blue,False,False,C0=20 | C0=30,2,1.0,0.0
Vasconcelos2025_MB_concentration,Vasconcelos2025,Methylene blue,True,False,C0=20 | C0=40,2,1.0,0.0
Vasconcelos2025_MB_concentration,Vasconcelos2025,Methylene blue,False,False,C0=30 | C0=40,2,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=0.5 | time=1,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=0.5 | time=1.5,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=0.5 | time=2,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=0.5 | time=3,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=0.5 | time=4,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=0.5 | time=6,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=0.5 | time=8,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=0.5 | time=12,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=0.5 | time=24,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=0.5 | time=48,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,True,False,time=0.5 | time=72,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1 | time=1.5,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1 | time=2,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1 | time=3,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1 | time=4,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1 | time=6,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1 | time=8,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1 | time=12,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1 | time=24,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1 | time=48,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1 | time=72,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1.5 | time=2,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1.5 | time=3,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1.5 | time=4,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1.5 | time=6,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1.5 | time=8,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1.5 | time=12,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1.5 | time=24,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1.5 | time=48,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=1.5 | time=72,4,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=2 | time=3,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=2 | time=4,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=2 | time=6,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=2 | time=8,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=2 | time=12,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=2 | time=24,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=2 | time=48,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=2 | time=72,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=3 | time=4,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=3 | time=6,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=3 | time=8,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=3 | time=12,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=3 | time=24,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=3 | time=48,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=3 | time=72,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=4 | time=6,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=4 | time=8,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=4 | time=12,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=4 | time=24,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=4 | time=48,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=4 | time=72,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=6 | time=8,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=6 | time=12,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=6 | time=24,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=6 | time=48,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=6 | time=72,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=8 | time=12,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=8 | time=24,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=8 | time=48,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=8 | time=72,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=12 | time=24,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=12 | time=48,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=12 | time=72,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=24 | time=48,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=24 | time=72,3,1.0,0.0
Wang2021_phosphate_kinetics,Wang2021,Phosphate,False,False,time=48 | time=72,3,1.0,0.0
Wei2025_urea_initial_pH,Wei2025,Urea,False,False,pH=3 | pH=5,2,1.0,0.0
Wei2025_urea_initial_pH,Wei2025,Urea,False,False,pH=3 | pH=7,2,1.0,0.0
Wei2025_urea_initial_pH,Wei2025,Urea,False,False,pH=3 | pH=9,2,1.0,0.0
Wei2025_urea_initial_pH,Wei2025,Urea,True,False,pH=3 | pH=11,2,1.0,0.0
Wei2025_urea_initial_pH,Wei2025,Urea,False,False,pH=5 | pH=7,2,1.0,0.0
Wei2025_urea_initial_pH,Wei2025,Urea,False,False,pH=5 | pH=9,2,1.0,0.0
Wei2025_urea_initial_pH,Wei2025,Urea,False,False,pH=5 | pH=11,2,1.0,0.0
Wei2025_urea_initial_pH,Wei2025,Urea,False,False,pH=7 | pH=9,2,1.0,0.0
Wei2025_urea_initial_pH,Wei2025,Urea,False,False,pH=7 | pH=11,2,1.0,0.0
Wei2025_urea_initial_pH,Wei2025,Urea,False,False,pH=9 | pH=11,2,1.0,0.0
Wei2025_urea_isotherm,Wei2025,Urea,False,False,C0_mg_L=50 | C0_mg_L=100,2,1.0,0.0
Wei2025_urea_isotherm,Wei2025,Urea,False,False,C0_mg_L=50 | C0_mg_L=150,2,1.0,0.0
Wei2025_urea_isotherm,Wei2025,Urea,False,False,C0_mg_L=50 | C0_mg_L=200,2,1.0,0.0
Wei2025_urea_isotherm,Wei2025,Urea,False,False,C0_mg_L=50 | C0_mg_L=250,2,1.0,0.0
Wei2025_urea_isotherm,Wei2025,Urea,True,False,C0_mg_L=50 | C0_mg_L=300,2,1.0,0.0
Wei2025_urea_isotherm,Wei2025,Urea,False,False,C0_mg_L=100 | C0_mg_L=150,2,1.0,0.0
Wei2025_urea_isotherm,Wei2025,Urea,False,False,C0_mg_L=100 | C0_mg_L=200,2,1.0,0.0
Wei2025_urea_isotherm,Wei2025,Urea,False,False,C0_mg_L=100 | C0_mg_L=250,2,1.0,0.0
Wei2025_urea_isotherm,Wei2025,Urea,False,False,C0_mg_L=100 | C0_mg_L=300,2,1.0,0.0
Wei2025_urea_isotherm,Wei2025,Urea,False,True,C0_mg_L=150 | C0_mg_L=200,2,1.0,0.0
Wei2025_urea_isotherm,Wei2025,Urea,False,False,C0_mg_L=150 | C0_mg_L=250,2,1.0,0.0
Wei2025_urea_isotherm,Wei2025,Urea,False,False,C0_mg_L=150 | C0_mg_L=300,2,1.0,0.0
Wei2025_urea_isotherm,Wei2025,Urea,False,False,C0_mg_L=200 | C0_mg_L=250,2,1.0,0.0
Wei2025_urea_isotherm,Wei2025,Urea,False,False,C0_mg_L=200 | C0_mg_L=300,2,1.0,0.0
Wei2025_urea_isotherm,Wei2025,Urea,False,False,C0_mg_L=250 | C0_mg_L=300,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=0 | time_min=10,4,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=0 | time_min=30,4,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=0 | time_min=60,4,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=0 | time_min=120,4,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=0 | time_min=180,4,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=0 | time_min=240,4,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=0 | time_min=420,4,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=0 | time_min=540,4,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=0 | time_min=720,4,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,True,False,time_min=0 | time_min=1440,4,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=10 | time_min=30,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=10 | time_min=60,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=10 | time_min=120,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=10 | time_min=180,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=10 | time_min=240,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=10 | time_min=420,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=10 | time_min=540,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=10 | time_min=720,2,1.0,0.0
