dataset,contaminant,n_panel_fits,n_primary_complete_panels,n_condition_strata,n_primary_condition_strata,median_primary_full_raw_predictive_q2,median_primary_condition_only_raw_q2,median_primary_pairwise_accuracy,median_primary_normalized_regret,screening_use_statement,n_primary_positive_contrast_q2,n_primary_positive_contrast_intervals,n_primary_above_chance_pairwise,n_primary_holm_ordering,n_primary_holm_ordering_and_positive_contrast,n_source_studies_loso,source_holdout_predictive_q2
Dataset I,Cd (II),7,6,37,36,0.632389990311338,0.3241239906891161,0.5870899809199042,0.42792620681670296,Ranking evidence varied across complete matched panels; a prospective external panel is required before candidate-ordering use.,2,1,3,1,0,8,0.2859961077549819
Dataset I,Cu (II),1,1,6,6,0.5670667959930696,0.6632176694159742,0.6435185185185185,0.3812104433550407,"Complete matched panels were evaluated, but they did not provide consistent retrospective support for candidate ranking.",1,1,1,0,0,3,0.6592362743327781
Dataset I,Pb (II),2,1,4,3,0.5917392315476698,0.9929818754032143,0.5960292580982236,0.0,"Complete matched panels were evaluated, but they did not provide consistent retrospective support for candidate ranking.",0,0,1,0,0,7,0.4803899671622897
Dataset II,Sr (II),1,1,29,29,0.8203163787760223,0.8188637424044322,0.2816091954022989,1.0,"Complete matched panels were evaluated, but they did not provide consistent retrospective support for candidate ranking.",0,0,0,0,0,4,0.1881918022513989
Dataset III,Ibuprofen,1,1,11,11,0.35426152310306835,0.29870162006836454,1.0,0.0,"Complete matched panels were evaluated, but they did not provide consistent retrospective support for candidate ranking.",1,1,1,0,0,5,0.0080732242113689
