study_id,panel_id,query_stratum,observed_best_candidates,retained_candidates,best_retained,observed_best_response,retained_best_response,response_range,regret,relative_regret_to_best,normalized_regret
Soria2020,Soria2020_Zn_isotherm,C2,WSP550,OSR550 | OSR700 | WSP550,True,0.789594598,0.789594598,0.751532454,0.0,0.0,0.0
Soria2020,Soria2020_Zn_isotherm,C3,OSR550,OSR550 | OSR700 | WSP550,True,1.186471521,1.186471521,1.0900702890000002,0.0,0.0,0.0
Soria2020,Soria2020_Zn_isotherm,C4,WSP550,OSR550 | OSR700 | WSP550,True,2.231546307,2.231546307,2.3632434936666664,0.0,0.0,0.0
Soria2020,Soria2020_Zn_isotherm,C5,OSR700,OSR550 | OSR700 | WSP550,True,3.906092871,3.906092871,3.6489480936666663,0.0,0.0,0.0
Soria2020,Soria2020_Zn_isotherm,C6,WSP550,OSR550 | OSR700 | WSP550,True,7.427807698,7.427807698,7.439629380666666,0.0,0.0,0.0
Soria2020,Soria2020_Zn_isotherm,C7,OSR700,OSR550 | OSR700 | WSP550,True,10.737474140000002,10.737474140000002,11.285226596000001,0.0,0.0,0.0
Vasconcelos2025,Vasconcelos2025_17bE2_concentration,C0=15,AB,AB | B,True,12.19,12.19,4.64,0.0,0.0,0.0
Vasconcelos2025,Vasconcelos2025_MB_concentration,C0=30,CB,AB | CB,True,28.69,28.69,14.100000000000001,0.0,0.0,0.0
Wang2021,Wang2021_phosphate_kinetics,time=1,La-BC,Ca-BC | Fe-BC | La-BC | Mg-BC,True,9.87,9.87,7.889999999999999,0.0,0.0,0.0
Wang2021,Wang2021_phosphate_kinetics,time=1.5,La-BC,Ca-BC | Fe-BC | La-BC | Mg-BC,True,9.88,9.88,7.360000000000001,0.0,0.0,0.0
Wang2021,Wang2021_phosphate_kinetics,time=12,La-BC,Ca-BC | Fe-BC | La-BC | Mg-BC,True,9.88,9.88,4.65,0.0,0.0,0.0
Wang2021,Wang2021_phosphate_kinetics,time=2,La-BC,Ca-BC | Fe-BC | La-BC | Mg-BC,True,9.87,9.87,7.01,0.0,0.0,0.0
Wang2021,Wang2021_phosphate_kinetics,time=24,La-BC,Ca-BC | Fe-BC | La-BC | Mg-BC,True,9.91,9.91,3.3600000000000003,0.0,0.0,0.0
Wang2021,Wang2021_phosphate_kinetics,time=3,La-BC,Ca-BC | Fe-BC | La-BC | Mg-BC,True,9.87,9.87,6.989999999999999,0.0,0.0,0.0
Wang2021,Wang2021_phosphate_kinetics,time=4,La-BC,Ca-BC | Fe-BC | La-BC | Mg-BC,True,9.88,9.88,6.430000000000001,0.0,0.0,0.0
Wang2021,Wang2021_phosphate_kinetics,time=48,La-BC,Ca-BC | Fe-BC | La-BC | Mg-BC,True,9.9,9.9,1.5600000000000005,0.0,0.0,0.0
Wang2021,Wang2021_phosphate_kinetics,time=6,La-BC,Ca-BC | Fe-BC | La-BC | Mg-BC,True,9.91,9.91,6.130000000000001,0.0,0.0,0.0
Wang2021,Wang2021_phosphate_kinetics,time=8,La-BC,Ca-BC | Fe-BC | La-BC | Mg-BC,True,9.89,9.89,5.840000000000001,0.0,0.0,0.0
Wei2025,Wei2025_urea_initial_pH,pH=5,SUCBC,CBC | SUCBC,True,86.27,86.27,23.519999999999996,0.0,0.0,0.0
Wei2025,Wei2025_urea_initial_pH,pH=7,SUCBC,CBC | SUCBC,True,96.08,96.08,26.47,0.0,0.0,0.0
Wei2025,Wei2025_urea_initial_pH,pH=9,SUCBC,CBC | SUCBC,True,105.88,105.88,25.489999999999995,0.0,0.0,0.0
Wei2025,Wei2025_urea_isotherm,C0_mg_L=100,SUCBC,CBC | SUCBC,True,96.08,96.08,26.47,0.0,0.0,0.0
Wei2025,Wei2025_urea_isotherm,C0_mg_L=150,SUCBC,CBC | SUCBC,True,108.0,108.0,37.41,0.0,0.0,0.0
Wei2025,Wei2025_urea_isotherm,C0_mg_L=200,SUCBC,CBC | SUCBC,True,111.35,111.35,29.0,0.0,0.0,0.0
Wei2025,Wei2025_urea_isotherm,C0_mg_L=250,SUCBC,CBC | SUCBC,True,114.71,114.71,31.379999999999995,0.0,0.0,0.0
Wei2025,Wei2025_urea_kinetics,time_min=10,SUCBC,BC | CBC | SUBC | SUCBC,True,46.14,46.14,28.85,0.0,0.0,0.0
Wei2025,Wei2025_urea_kinetics,time_min=120,SUCBC,BC | CBC | SUBC | SUCBC,True,91.09,91.09,25.33,0.0,0.0,0.0
Wei2025,Wei2025_urea_kinetics,time_min=180,SUCBC,BC | CBC | SUBC | SUCBC,True,94.07,94.07,25.39999999999999,0.0,0.0,0.0
Wei2025,Wei2025_urea_kinetics,time_min=240,SUCBC,BC | CBC | SUBC | SUCBC,True,96.08,96.08,26.47,0.0,0.0,0.0
Wei2025,Wei2025_urea_kinetics,time_min=30,SUCBC,BC | CBC | SUBC | SUCBC,True,67.59,67.59,30.300000000000004,0.0,0.0,0.0
Wei2025,Wei2025_urea_kinetics,time_min=420,SUCBC,BC | CBC | SUBC | SUCBC,True,96.35,96.35,26.61999999999999,0.0,0.0,0.0
Wei2025,Wei2025_urea_kinetics,time_min=540,SUCBC,BC | CBC | SUBC | SUCBC,True,96.42,96.42,26.61,0.0,0.0,0.0
Wei2025,Wei2025_urea_kinetics,time_min=60,SUCBC,BC | CBC | SUBC | SUCBC,True,82.25,82.25,37.13,0.0,0.0,0.0
Wei2025,Wei2025_urea_kinetics,time_min=720,SUCBC,BC | CBC | SUBC | SUCBC,True,96.47,96.47,26.64,0.0,0.0,0.0
Wei2025,Wei2025_urea_temperature,temperature_C=25,SUCBC,CBC | SUCBC,True,96.0784,96.0784,26.4705568627451,0.0,0.0,0.0
