panel_id,dataset,contaminant,stage,model_name,selection_metric,best_cv_r2,best_cv_mae,best_cv_rmse,best_params,best_cv_group_mae,best_cv_group_rmse
6,Dataset I,Cd (II),coarse,RF,group_mae,-0.8534487226288598,0.160007688241652,0.2755840247358508,"{""max_depth"": 18, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.0661841152411008,0.1848218820552253
6,Dataset I,Cd (II),coarse,XGB,group_mae,-0.3304970999226374,0.1551527416820324,0.2440107458111122,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.9}",0.0728450668034944,0.1670818455384642
6,Dataset I,Cd (II),refined,RF,group_mae,-0.8353979491502781,0.1594037333568961,0.2751743953824695,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 1500}",0.0660653551616533,0.1841951686347369
7,Dataset I,Cd (II),coarse,LGBM,group_mae,-0.8450514679070393,0.1282724117531442,0.1980572055109599,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 31}",0.0684686569244338,0.1355733369472369
7,Dataset I,Cd (II),coarse,RF,group_mae,-5.158746578333183,0.1387903053806432,0.2438000509267457,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.0567302846276975,0.1482208387118416
7,Dataset I,Cd (II),coarse,XGB,group_mae,-1.8017469410995564,0.1322422373725699,0.2210401622983149,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.9}",0.066761148316034,0.1485778007245767
7,Dataset I,Cd (II),refined,RF,group_mae,-4.695839563479875,0.1362339419682527,0.239774594804985,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 1500}",0.0567287029282543,0.1467140699301301
8,Dataset I,Pb (II),coarse,LGBM,group_mae,-0.117193335449895,0.0703955024517828,0.1034756566597291,"{""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 500, ""num_leaves"": 31}",0.0650504344553465,0.1132786081316046
8,Dataset I,Pb (II),coarse,RF,group_mae,0.2942363587448034,0.0402924276262661,0.0746584963745374,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 800}",0.0356988240226814,0.0817055641146913
8,Dataset I,Pb (II),coarse,XGB,group_mae,0.1741107410495428,0.0434007231815814,0.0784268476632873,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 500, ""subsample"": 0.9}",0.0396011250541955,0.0850070642427231
8,Dataset I,Pb (II),refined,RF,group_mae,0.2942363587448034,0.0402924276262661,0.0746584963745374,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 800}",0.0356988240226814,0.0817055641146913
9,Dataset I,Pb (II),coarse,LGBM,group_mae,-3.295389165342167,0.1063602414896396,0.1279472167909152,"{""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 500, ""num_leaves"": 31}",0.1223716373203258,0.1553975668205916
9,Dataset I,Pb (II),coarse,RF,group_mae,-2.322559159621614,0.0848226393669412,0.1130102717968748,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.1098096677111047,0.15007945093028
9,Dataset I,Pb (II),coarse,XGB,group_mae,-2.259379711433505,0.079702083788679,0.1112526064789,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.9}",0.1125744725999532,0.1558947094375408
9,Dataset I,Pb (II),refined,RF,group_mae,-2.322559159621614,0.0848226393669412,0.1130102717968748,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.1098096677111047,0.15007945093028
10,Dataset I,Cu (II),coarse,LGBM,group_mae,-1260.8968471929795,0.2919215706724224,0.301759607958758,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 31}",0.2919215706724224,0.3173315946658524
10,Dataset I,Cu (II),coarse,RF,group_mae,-4.462996883126256,0.0691582246697775,0.0778265770025295,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.0691582246697775,0.0968753762833633
10,Dataset I,Cu (II),coarse,XGB,group_mae,-9.23722531873725,0.0656586826132163,0.0736651156635037,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.9}",0.0656586826132163,0.0847700817634554
10,Dataset I,Cu (II),refined,XGB,group_mae,-4.506234070248945,0.0615342509286031,0.0698192529516901,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.9}",0.0615342509286031,0.0839334733096099
11,Dataset II,Sr (II),coarse,LGBM,group_mae,-3.0180776360798616,3.629944393722696,5.987299281953455,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 31}",3.5966027354494776,6.8245644639163645
11,Dataset II,Sr (II),coarse,RF,group_mae,-0.1580068402175828,1.5142886935876962,2.2089087390626663,"{""max_depth"": 18, ""min_samples_leaf"": 1, ""n_estimators"": 800}",1.537098051051475,2.285525915862927
11,Dataset II,Sr (II),coarse,XGB,group_mae,0.3523194680662122,1.2724202900083728,1.9042242430573,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 500, ""subsample"": 0.9}",1.2560233606606477,2.066294735113325
11,Dataset II,Sr (II),refined,XGB,group_mae,0.4328227193742903,1.2495689226410394,1.9087502580971047,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 800, ""subsample"": 0.9}",1.214408871381433,2.0693490739736906
12,Dataset III,Ibuprofen,coarse,LGBM,group_mae,-185.32275012785163,57.386497065953606,62.08704712013139,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 500, ""num_leaves"": 31}",55.42078793867137,67.4416315723884
12,Dataset III,Ibuprofen,coarse,RF,group_mae,-29.626446025896065,33.266746087664,38.44881307003215,"{""max_depth"": 18, ""min_samples_leaf"": 1, ""n_estimators"": 300}",33.792011278686275,43.08199103148318
12,Dataset III,Ibuprofen,coarse,XGB,group_mae,-110.5092883649908,50.46514621282788,56.76081893409058,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 500, ""subsample"": 0.9}",50.30413837363881,61.86573770494142
12,Dataset III,Ibuprofen,refined,RF,group_mae,-22.73609610020388,29.64134845315293,35.34240133051464,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 800}",31.326906936156536,41.51210007973864
